domain,ipv4,ipv6,cname,status,checked_at,Reachability Classification,Hosting Classification,Domains on IP
parliament.gov.zm,41.77.145.34,,,OK,2025-12-13T13:27:56+02:00,Public (IPv4),Direct / Shared Hosting,1
pia.org.zm,,,,NXDOMAIN,2025-12-13T13:27:57+02:00,No Public DNS / Internal / Legacy,Unknown,0
portal.citizensupport.gov.zm,smartzambia.powerappsportals.com.,smartzambia.powerappsportals.com.,smartzambia.powerappsportals.com,OK,2025-12-13T13:27:57+02:00,Public (IPv4),Direct / Shared Hosting,1
portal.zra.org.zm,196.223.29.13,,,OK,2025-12-13T13:27:58+02:00,Public (IPv4),Direct / Shared Hosting,1
pspf.gov.zm,,,,NXDOMAIN,2025-12-13T13:28:00+02:00,No Public DNS / Internal / Legacy,Unknown,0
publicprotector.gov.zm,,,,NXDOMAIN,2025-12-13T13:28:00+02:00,No Public DNS / Internal / Legacy,Unknown,0
rda.org.zm,102.23.122.251,,,OK,2025-12-13T13:28:01+02:00,Public (IPv4),Direct / Shared Hosting,9
rea.org.zm,162.241.224.179,,,OK,2025-12-13T13:28:01+02:00,Public (IPv4),Direct / Shared Hosting,2
rsu.ac.zm,,,,NXDOMAIN,2025-12-13T13:28:04+02:00,No Public DNS / Internal / Legacy,Unknown,0
rtsa.org.zm,41.175.8.225,,,OK,2025-12-13T13:28:04+02:00,Public (IPv4),Direct / Shared Hosting,2
seczambia.org.zm,50.6.3.226,,,OK,2025-12-13T13:28:05+02:00,Public (IPv4),Direct / Shared Hosting,2
sh.gov.zm,165.56.3.214,,,OK,2025-12-13T13:28:06+02:00,Public (IPv4),Direct / Shared Hosting,2
sou.gov.zm,41.215.183.62,,,OK,2025-12-13T13:28:06+02:00,Public (IPv4),Direct / Shared Hosting,6
statehouse.gov.zm,,,,NXDOMAIN,2025-12-13T13:28:09+02:00,No Public DNS / Internal / Legacy,Unknown,0
supremecourt.gov.zm,,,,NXDOMAIN,2025-12-13T13:28:10+02:00,No Public DNS / Internal / Legacy,Unknown,0
swsc.co.zm,,,,NXDOMAIN,2025-12-13T13:28:11+02:00,No Public DNS / Internal / Legacy,Unknown,0
szi.gov.zm,41.215.183.55,,,OK,2025-12-13T13:28:12+02:00,Public (IPv4),Direct / Shared Hosting,10
tazama.co.zm,102.23.121.175,,,OK,2025-12-13T13:28:13+02:00,Public (IPv4),Direct / Shared Hosting,1
tbz.org.zm,,,,NXDOMAIN,2025-12-13T13:28:14+02:00,No Public DNS / Internal / Legacy,Unknown,0
tcz.ac.zm,154.120.217.132,,,OK,2025-12-13T13:28:14+02:00,Public (IPv4),Direct / Shared Hosting,2
teveta.org.zm,,,,NXDOMAIN,2025-12-13T13:28:15+02:00,No Public DNS / Internal / Legacy,Unknown,0
times.co.zm,165.56.48.29,,,OK,2025-12-13T13:28:15+02:00,Public (IPv4),Direct / Shared Hosting,2
unza.zm,41.63.1.33,,,OK,2025-12-13T13:28:16+02:00,Public (IPv4),Direct / Shared Hosting,2
warma.org.zm,165.56.48.28,,,OK,2025-12-13T13:28:17+02:00,Public (IPv4),Direct / Shared Hosting,6
wes.gov.zm,154.120.217.145,,,OK,2025-12-13T13:28:17+02:00,Public (IPv4),Direct / Shared Hosting,1
workers.com.zm,196.46.215.165,,,OK,2025-12-13T13:28:18+02:00,Public (IPv4),Direct / Shared Hosting,2
wwsc.co.zm,,,,NXDOMAIN,2025-12-13T13:28:19+02:00,No Public DNS / Internal / Legacy,Unknown,0
www.acc.gov.zm,102.23.122.251,,,OK,2025-12-13T13:28:20+02:00,Public (IPv4),Direct / Shared Hosting,9
www.ago.gov.zm,41.175.8.85,,,OK,2025-12-13T13:28:21+02:00,Public (IPv4),Direct / Shared Hosting,1
www.agriculture.gov.zm,41.215.183.59,,,OK,2025-12-13T13:28:21+02:00,Public (IPv4),Direct / Shared Hosting,5
www.boz.zm,4.222.18.41,,,OK,2025-12-13T13:28:22+02:00,Public (IPv4),Direct / Shared Hosting,2
www.brra.org.zm,102.23.122.251,,,OK,2025-12-13T13:28:23+02:00,Public (IPv4),Direct / Shared Hosting,9
www.caa.co.zm,41.72.115.238,,,OK,2025-12-13T13:28:23+02:00,Public (IPv4),Direct / Shared Hosting,1
www.cabinet.gov.zm,41.215.183.58,,,OK,2025-12-13T13:28:24+02:00,Public (IPv4),Direct / Shared Hosting,7
www.cbu.ac.zm,192.124.249.110,,,OK,2025-12-13T13:28:24+02:00,Public (IPv4),Direct / Shared Hosting,2
www.ccpc.org.zm,102.23.122.251,,,OK,2025-12-13T13:28:25+02:00,Public (IPv4),Direct / Shared Hosting,9
www.ceec.org.zm,172.67.154.246,2606:4700:3031::6815:638,,OK,2025-12-13T13:28:26+02:00,Public (IPv4),Direct / Shared Hosting,1
www.cen.gov.zm,41.215.183.57,,,OK,2025-12-13T13:28:26+02:00,Public (IPv4),Direct / Shared Hosting,3
www.chalimbana.ac.zm,,,,NXDOMAIN,2025-12-13T13:28:27+02:00,No Public DNS / Internal / Legacy,Unknown,0
www.cop.gov.zm,,,,NXDOMAIN,2025-12-13T13:28:28+02:00,No Public DNS / Internal / Legacy,Unknown,0
www.daily-mail.co.zm,102.23.120.144,,,OK,2025-12-13T13:28:29+02:00,Public (IPv4),Direct / Shared Hosting,2
www.dbz.co.zm,41.60.230.83,,,OK,2025-12-13T13:28:30+02:00,Public (IPv4),Direct / Shared Hosting,1
www.eas.gov.zm,41.215.183.57,,,OK,2025-12-13T13:28:30+02:00,Public (IPv4),Direct / Shared Hosting,3
www.eiz.org.zm,102.23.122.251,,,OK,2025-12-13T13:28:31+02:00,Public (IPv4),Direct / Shared Hosting,9
www.elections.org.zm,104.21.51.93,2606:4700:3035::6815:335d,,OK,2025-12-13T13:28:31+02:00,Public (IPv4),Direct / Shared Hosting,2
www.erb.org.zm,erb.org.zm.,erb.org.zm.,erb.org.zm,OK,2025-12-13T13:28:31+02:00,Public (IPv4),Direct / Shared Hosting,1
www.exams-council.org.zm,41.63.0.22,,,OK,2025-12-13T13:28:32+02:00,Public (IPv4),Direct / Shared Hosting,7
www.fic.gov.zm,fic.gov.zm.,fic.gov.zm.,fic.gov.zm,OK,2025-12-13T13:28:32+02:00,Public (IPv4),Direct / Shared Hosting,1
www.fra.org.zm,217.69.10.8,,,OK,2025-12-13T13:28:33+02:00,Public (IPv4),Direct / Shared Hosting,3
www.gncz.org.zm,,,,NXDOMAIN,2025-12-13T13:28:34+02:00,No Public DNS / Internal / Legacy,Unknown,0
www.gov.zm,,,,NXDOMAIN,2025-12-13T13:28:34+02:00,No Public DNS / Internal / Legacy,Unknown,0
www.hea.org.zm,41.63.0.22,,,OK,2025-12-13T13:28:35+02:00,Public (IPv4),Direct / Shared Hosting,7
www.hpcz.org.zm,185.230.63.107,,,OK,2025-12-13T13:28:36+02:00,Public (IPv4),Direct / Shared Hosting,2
www.hrc.org.zm,hrc.org.zm.,hrc.org.zm.,hrc.org.zm,OK,2025-12-13T13:28:36+02:00,Public (IPv4),Direct / Shared Hosting,1
www.idc.co.zm,,,,NXDOMAIN,2025-12-13T13:28:37+02:00,No Public DNS / Internal / Legacy,Unknown,0
www.indeni.com.zm,indeni.com.zm.,indeni.com.zm.,indeni.com.zm,OK,2025-12-13T13:28:37+02:00,Public (IPv4),Direct / Shared Hosting,1
www.izb.co.zm,izb.azurewebsites.net.,izb.azurewebsites.net.,izb.azurewebsites.net,OK,2025-12-13T13:28:37+02:00,Public (IPv4),Cloud (Azure),1
www.kmu.ac.zm,41.63.0.22,,,OK,2025-12-13T13:28:38+02:00,Public (IPv4),Direct / Shared Hosting,7
www.knu.ac.zm,,,,NXDOMAIN,2025-12-13T13:28:39+02:00,No Public DNS / Internal / Legacy,Unknown,0
www.lands.gov.zm,,,,NXDOMAIN,2025-12-13T13:28:40+02:00,No Public DNS / Internal / Legacy,Unknown,0
www.laz.org.zm,laz.org.zm.,laz.org.zm.,laz.org.zm,OK,2025-12-13T13:28:40+02:00,Public (IPv4),Direct / Shared Hosting,1
www.lcc.gov.zm,217.69.10.8,,,OK,2025-12-13T13:28:41+02:00,Public (IPv4),Direct / Shared Hosting,3
