domain,ipv4,ipv6,cname,status,checked_at,Reachability Classification,Hosting Classification,Domains on IP
zamportal.gov.zm,13.69.68.16,,,OK,2025-12-13T13:29:44+02:00,Public (IPv4),Direct / Shared Hosting,1
zamra.co.zm,192.185.87.120,,,OK,2025-12-13T13:29:45+02:00,Public (IPv4),Direct / Shared Hosting,4
zamstats.gov.zm,,,,NXDOMAIN,2025-12-13T13:29:46+02:00,No Public DNS / Internal / Legacy,Unknown,0
zamtel.zm,165.56.48.30,,,OK,2025-12-13T13:29:46+02:00,Public (IPv4),Direct / Shared Hosting,1
zanaco.co.zm,,,,NXDOMAIN,2025-12-13T13:29:47+02:00,No Public DNS / Internal / Legacy,Unknown,0
zanis.gov.zm,41.215.183.86,,,OK,2025-12-13T13:29:47+02:00,Public (IPv4),Direct / Shared Hosting,1
zaqa.gov.zm,108.167.183.249,,,OK,2025-12-13T13:29:48+02:00,Public (IPv4),Direct / Shared Hosting,1
zari.gov.zm,174.136.29.222,,,OK,2025-12-13T13:29:49+02:00,Public (IPv4),Direct / Shared Hosting,3
zawa.org.zm,,,,NXDOMAIN,2025-12-13T13:29:49+02:00,No Public DNS / Internal / Legacy,Unknown,0
zccm-ih.com.zm,91.108.96.95,,,OK,2025-12-13T13:29:50+02:00,Public (IPv4),Direct / Shared Hosting,2
zcs.gov.zm,,,,NXDOMAIN,2025-12-13T13:29:51+02:00,No Public DNS / Internal / Legacy,Unknown,0
zcsa.org.zm,196.46.215.182,,,OK,2025-12-13T13:29:51+02:00,Public (IPv4),Direct / Shared Hosting,2
zda.org.zm,192.185.87.120,,,OK,2025-12-13T13:29:52+02:00,Public (IPv4),Direct / Shared Hosting,4
zema.org.zm,102.23.122.159,,,OK,2025-12-13T13:29:53+02:00,Public (IPv4),Direct / Shared Hosting,2
zesco.co.zm,102.67.160.250,,,OK,2025-12-13T13:29:53+02:00,Public (IPv4),Direct / Shared Hosting,2
zica.co.zm,35.187.124.132,,,OK,2025-12-13T13:29:54+02:00,Public (IPv4),Direct / Shared Hosting,2
zicta.zm,196.13.104.250,,,OK,2025-12-13T13:29:54+02:00,Public (IPv4),Direct / Shared Hosting,2
znbc.co.zm,41.215.183.55,,,OK,2025-12-13T13:29:55+02:00,Public (IPv4),Direct / Shared Hosting,10
znbs.co.zm,165.56.48.28,,,OK,2025-12-13T13:29:55+02:00,Public (IPv4),Direct / Shared Hosting,6
znphi.co.zm,45.90.229.189,,,OK,2025-12-13T13:29:56+02:00,Public (IPv4),Direct / Shared Hosting,1
zppa.org.zm,41.60.3.174,,,OK,2025-12-13T13:29:57+02:00,Public (IPv4),Direct / Shared Hosting,3
zpsc.gov.zm,174.136.29.222,,,OK,2025-12-13T13:29:57+02:00,Public (IPv4),Direct / Shared Hosting,3
zra.org.zm,41.72.108.84,,,OK,2025-12-13T13:29:58+02:00,Public (IPv4),Direct / Shared Hosting,1
zrl.com.zm,102.23.123.214,,,OK,2025-12-13T13:29:59+02:00,Public (IPv4),Direct / Shared Hosting,2
zsicgi.co.zm,196.46.215.142,,,OK,2025-12-13T13:29:59+02:00,Public (IPv4),Direct / Shared Hosting,2
zsiclife.co.zm,104.26.2.148,2606:4700:20::ac43:4607,,OK,2025-12-13T13:30:00+02:00,Public (IPv4),Direct / Shared Hosting,1
zuct.ac.zm,,,,NXDOMAIN,2025-12-13T13:30:01+02:00,No Public DNS / Internal / Legacy,Unknown,0
zwma.gov.zm,,,,NXDOMAIN,2025-12-13T13:30:01+02:00,No Public DNS / Internal / Legacy,Unknown,0
